model,strategy,encoding,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,positive_smell_recall_mean,positive_smell_recall_std,top_1_positive_count_mean,top_1_positive_count_std,top_5_positive_count_mean,top_5_positive_count_std,top_10_positive_count_mean,top_10_positive_count_std,recall
knn,random_undersample,tfidf,7,0.4382953181272509,0.0517313645584747,0.15603850582601808,0.04257006716820914,0.6476190476190476,0.21884048177287727,0.2511514825179421,0.0717319284028946,0.6476190476190476,0.21884048177287727,3.2857142857142856,1.0301575072754257,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.6476190476190476
naive_bayes,none,tfidf,7,0.8430972388955581,0.019833734864886765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
naive_bayes,class_weight,tfidf,7,0.8430972388955581,0.019833734864886765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
naive_bayes,random_undersample,tfidf,7,0.46290516206482596,0.07842306266257151,0.16424824475244643,0.047510276368660474,0.6380952380952382,0.19794866372215744,0.2607897468486529,0.07548801742981281,0.6380952380952382,0.19794866372215744,3.2857142857142856,1.0301575072754257,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.6380952380952382
logistic_regression,none,sbert_avg,7,0.7645858343337334,0.04624669786535716,0.15272108843537416,0.13730968554025083,0.17142857142857143,0.1665986255670086,0.1598845598845599,0.14821978116143975,0.17142857142857143,0.1665986255670086,0.8571428571428571,0.8329931278350428,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.17142857142857143
logistic_regression,class_weight,sbert_avg,7,0.7063625450180072,0.06484037898650603,0.2187126365697794,0.1261143587369786,0.2809523809523809,0.10367400503370115,0.22222658294086867,0.06686570555690834,0.2809523809523809,0.10367400503370115,1.4285714285714286,0.4948716593053935,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.2809523809523809
logistic_regression,random_undersample,sbert_avg,7,0.6001200480192077,0.07293092543551553,0.1910580223992431,0.07154694376395031,0.5619047619047619,0.2978380146878455,0.2812078898545064,0.11877002730669596,0.5619047619047619,0.2978380146878455,2.857142857142857,1.4568627181693672,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.5619047619047619
random_forest,none,sbert_avg,7,0.8512605042016805,0.009464779517131792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
random_forest,class_weight,sbert_avg,7,0.8512605042016805,0.009464779517131792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
random_forest,random_undersample,sbert_avg,7,0.5623049219687876,0.08557933562687574,0.19551993536955944,0.06928361752881688,0.6190476190476192,0.2356060357495806,0.29509589789092894,0.10302453070962714,0.6190476190476192,0.2356060357495806,3.142857142857143,1.124858267715973,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.6190476190476192
knn,none,sbert_avg,7,0.834453781512605,0.02218323687073396,0.2619047619047619,0.3547539148988414,0.08095238095238096,0.09404008408634047,0.1173469387755102,0.1359480876987166,0.08095238095238096,0.09404008408634047,0.42857142857142855,0.49487165930539345,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.08095238095238096
knn,class_weight,sbert_avg,7,0.834453781512605,0.02218323687073396,0.2619047619047619,0.3547539148988414,0.08095238095238096,0.09404008408634047,0.1173469387755102,0.1359480876987166,0.08095238095238096,0.09404008408634047,0.42857142857142855,0.49487165930539345,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.08095238095238096
knn,random_undersample,sbert_avg,7,0.4547418967587034,0.06608640731496396,0.18028608364502446,0.051988648731530356,0.7476190476190476,0.2076758332129193,0.28997566017270454,0.08177849502524834,0.7476190476190476,0.2076758332129193,3.857142857142857,1.124858267715973,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.7476190476190476
naive_bayes,none,sbert_avg,7,0.7397358943577431,0.05973351072009403,0.24288766788766789,0.10093826823102847,0.3333333333333334,0.1745743121887939,0.26960341246055536,0.10919500856624238,0.3333333333333334,0.1745743121887939,1.7142857142857142,0.880630571852711,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.3333333333333334
