issue_id,in_recovar,recovar_issue_state,in_classification,smell_label,issue_state_ours,has_dep_change_commits,dep_change_missing_recovar,smelly_missing_recovar,dep_mr_count,dep_commit_count,dep_files_with_dep_changes
2109,True,closed,True,no_smell,closed,False,False,False,0,0,0
2110,True,closed,True,no_smell,closed,False,False,False,0,0,0
2111,False,,True,smell,closed,True,True,True,1,2,6
2112,False,,True,no_smell,closed,False,False,False,0,0,0
2113,False,,True,no_smell,closed,False,False,False,0,0,0
2114,False,,True,no_smell,closed,False,False,False,0,0,0
2116,False,,True,no_smell,closed,True,True,False,1,1,2
2117,True,closed,True,smell,closed,True,False,False,1,1,1
2119,False,,True,no_smell,closed,False,False,False,0,0,0
2121,True,closed,True,no_smell,closed,False,False,False,0,0,0
2124,False,,True,smell,closed,True,True,True,1,5,8
2125,True,opened,True,no_smell,opened,False,False,False,0,0,0
2126,False,,True,no_smell,closed,True,True,False,1,1,2
2127,False,,True,no_smell,closed,False,False,False,0,0,0
2130,False,,True,no_smell,closed,False,False,False,0,0,0
2133,False,,True,no_smell,closed,True,True,False,1,1,1
2135,False,,True,smell,closed,True,True,True,1,2,6
2143,False,,True,no_smell,opened,False,False,False,0,0,0
2147,False,,True,no_smell,closed,False,False,False,0,0,0
2149,False,,True,no_smell,closed,False,False,False,0,0,0
2151,False,,True,smell,closed,True,True,True,1,2,6
2153,False,,True,no_smell,closed,False,False,False,0,0,0
2154,True,opened,True,no_smell,opened,True,False,False,1,1,2
2155,True,closed,True,no_smell,closed,True,False,False,1,2,1
2157,False,,True,no_smell,closed,False,False,False,0,0,0
2159,False,,True,no_smell,closed,False,False,False,0,0,0
2160,False,,True,no_smell,closed,False,False,False,0,0,0
2163,False,,True,no_smell,closed,False,False,False,0,0,0
2168,True,closed,True,no_smell,closed,False,False,False,0,0,0
2170,False,,True,no_smell,closed,False,False,False,0,0,0
